FieldID,Column,Row2,ID2,Easting,Northing,Year,SampleID,Crop,GrainWeightWet
CookEast,13,M,301,493598.3173,5180954.217,2008,,W C,140.2559055
CookEast,5,A,1,493319.2802,5180579.262,2008,,W C,124.015748
CookEast,17,Q,398,493719.7229,5181093.211,2008,,W C,119.0944882
CookEast,12,K,252,493543.7083,5180893.14,2008,,W C,102.3622047
CookEast,11,I,204,493512.3753,5180822.519,2008,,W C,101.8700787
CookEast,16,Q,397,493690.2107,5181087.133,2008,,W C,99.9015748
CookEast,11,J,229,493540.2721,5180854.27,2008,,W C,92.51968504
CookEast,17,R,421,493712.7748,5181114.814,2008,,W C,82.67716535
CookEast,10,H,179,493495.6416,5180807.646,2008,,W C,31.00393701
CookEast,5,B,22,493341.1483,5180611.018,2008,,W C,
CookEast,6,B,23,493371.4556,5180609.627,2008,,W C,
CookEast,7,C,47,493385.6199,5180649.64,2008,,W C,
CookEast,7,D,72,493392.2963,5180681.413,2008,,W C,
CookEast,8,D,73,493421.8027,5180680.044,2008,,W C,
CookEast,19,O,356,493796.1682,5181021.016,2008,,W W,561.515748
CookEast,18,P,377,493767.3783,5181033.528,2008,,W W,561.515748
CookEast,17,L,280,493721.8031,5180932.307,2008,,W W,555.6102362
CookEast,16,C,56,493671.4302,5180643.584,2008,,W W,554.1338583
CookEast,20,H,189,493814.7171,5180798.753,2008,,W W,550.1968504
CookEast,22,I,215,493859.7475,5180844.162,2008,,W W,546.7519685
CookEast,18,F,136,493752.0391,5180719.588,2008,,W W,541.3385827
CookEast,21,K,261,493828.4629,5180878.08,2008,,W W,539.8622047
CookEast,21,I,214,493831.4509,5180814.515,2008,,W W,531.496063
CookEast,20,M,308,493821.6746,5180957.65,2008,,W W,524.1141732
CookEast,19,P,378,493794.9034,5181052.799,2008,,W W,518.2086614
CookEast,23,K,263,493892.3054,5180904.017,2008,,W W,513.7795276
CookEast,16,J,234,493699.8241,5180864.657,2008,,W W,507.8740157
CookEast,21,N,334,493849.7054,5180973.401,2008,,W W,505.9055118
CookEast,16,K,256,493668.9418,5180896.47,2008,,W W,499.507874
CookEast,21,J,239,493858.4356,5180848.088,2008,,W W,488.6811024
CookEast,20,J,238,493827.4543,5180862.302,2008,,W W,485.2362205
CookEast,20,L,283,493817.5198,5180925.874,2008,,W W,485.2362205
CookEast,19,J,237,493798.2411,5180860.384,2008,,W W,484.2519685
CookEast,21,M,309,493855.1652,5180939.617,2008,,W W,478.3464567
CookEast,17,C,57,493704.7095,5180646.296,2008,,W W,474.4094488
CookEast,20,N,333,493817.8143,5180989.435,2008,,W W,470.4724409
CookEast,17,K,257,493700.8541,5180900.548,2008,,W W,468.011811
CookEast,19,M,307,493789.7668,5180957.461,2008,,W W,458.6614173
CookEast,16,L,279,493690.9522,5180926.713,2008,,W W,454.2322835
CookEast,11,C,51,493514.0376,5180631.032,2008,,W W,447.3425197
CookEast,19,L,282,493785.6118,5180925.684,2008,,W W,443.4055118
CookEast,15,C,55,493640.8784,5180634.585,2008,,W W,442.9133858
CookEast,16,I,209,493671.9282,5180832.905,2008,,W W,442.4212598
CookEast,21,L,284,493849.4113,5180909.839,2008,,W W,439.4685039
CookEast,17,D,82,493711.3842,5180678.07,2008,,W W,437.992126
CookEast,18,N,331,493753.9831,5180973.833,2008,,W W,437.5
CookEast,12,C,52,493545.1579,5180641.688,2008,,W W,432.0866142
CookEast,19,K,259,493764.6632,5180893.925,2008,,W W,430.1181102
CookEast,10,B,27,493502.3017,5180616.156,2008,,W W,428.6417323
CookEast,11,B,28,493532.5936,5180600.03,2008,,W W,428.6417323
CookEast,20,G,163,493797.585,5180766.989,2008,,W W,428.1496063
CookEast,19,N,332,493785.9066,5180989.246,2008,,W W,418.7992126
CookEast,15,B,32,493660.2348,5180602.783,2008,,W W,416.3385827
CookEast,19,G,162,493767.497,5180765.435,2008,,W W,415.3543307
CookEast,18,K,258,493732.7391,5180878.512,2008,,W W,413.3858268
CookEast,17,J,235,493731.7365,5180868.735,2008,,W W,412.8937008
CookEast,23,N,336,493913.5469,5180999.338,2008,,W W,410.4330709
CookEast,18,O,355,493764.2449,5181005.603,2008,,W W,409.9409449
CookEast,24,M,312,493946.5799,5180965.797,2008,,W W,407.9724409
CookEast,10,A,6,493479.2349,5180583.999,2008,,W W,406.988189
CookEast,12,D,77,493551.8335,5180673.461,2008,,W W,406.003937
CookEast,20,K,260,493796.5714,5180894.114,2008,,W W,404.0354331
CookEast,23,L,286,493913.2534,5180935.777,2008,,W W,402.0669291
CookEast,17,E,109,493725.5766,5180706.699,2008,,W W,401.5748031
CookEast,14,B,31,493628.3346,5180611.596,2008,,W W,400.0984252
CookEast,13,C,53,493577.0616,5180636.431,2008,,W W,398.6220472
CookEast,23,M,311,493917.4077,5180967.554,2008,,W W,397.1456693
CookEast,13,B,30,493596.4176,5180604.629,2008,,W W,396.6535433
CookEast,9,B,26,493468.7786,5180603.878,2008,,W W,390.2559055
CookEast,12,B,29,493564.5137,5180609.886,2008,,W W,389.7637795
CookEast,17,G,160,493701.8657,5180773.423,2008,,W W,382.8740157
CookEast,12,E,104,493561.319,5180707.229,2008,,W W,375.984252
CookEast,18,L,281,493754.8875,5180909.472,2008,,W W,375.984252
CookEast,16,G,159,493669.9528,5180769.345,2008,,W W,375
CookEast,20,P,379,493826.8107,5181052.988,2008,,W W,373.0314961
CookEast,21,Q,402,493849.7268,5181068.744,2008,,W W,371.0629921
CookEast,15,J,233,493667.9079,5180857.023,2008,,W W,358.7598425
CookEast,12,A,8,493542.6467,5180578.128,2008,,W W,356.2992126
CookEast,17,M,305,493725.9584,5180964.084,2008,,W W,353.3464567
CookEast,10,C,50,493485.6536,5180644.888,2008,,W W,349.4094488
CookEast,13,A,9,493574.5508,5180572.871,2008,,W W,348.9173228
CookEast,16,D,81,493679.4708,5180673.992,2008,,W W,347.9330709
CookEast,20,O,357,493828.0757,5181021.206,2008,,W W,347.9330709
CookEast,16,A,12,493668.4667,5180579.114,2008,,W W,343.996063
CookEast,15,D,80,493647.5535,5180666.359,2008,,W W,343.996063
CookEast,9,A,5,493446.9111,5180572.12,2008,,W W,338.5826772
CookEast,22,L,285,493881.3489,5180939.032,2008,,W W,331.2007874
CookEast,22,O,359,493891.9038,5181034.364,2008,,W W,326.2795276
CookEast,22,K,262,493860.4008,5180907.272,2008,,W W,324.8031496
CookEast,19,F,137,493782.1431,5180736.366,2008,,W W,318.4055118
CookEast,14,A,10,493606.4679,5180579.838,2008,,W W,313.484252
CookEast,21,O,358,493861.7152,5181003.956,2008,,W W,309.0551181
CookEast,19,H,188,493782.8084,5180798.563,2008,,W W,302.6574803
CookEast,22,N,335,493881.6427,5181002.593,2008,,W W,298.7204724
CookEast,15,G,158,493638.036,5180761.711,2008,,W W,283.4645669
CookEast,17,F,135,493720.1532,5180741.623,2008,,W W,282.480315
CookEast,14,E,106,493627.1381,5180706.94,2008,,W W,281.496063
CookEast,18,J,236,493763.6217,5180846.699,2008,,W W,281.496063
CookEast,14,C,54,493608.9784,5180643.397,2008,,W W,278.5433071
CookEast,17,I,210,493703.8408,5180836.983,2008,,W W,278.5433071
CookEast,18,M,306,493757.8431,5180942.048,2008,,W W,278.0511811
CookEast,11,D,76,493519.9137,5180663.606,2008,,W W,275.5905512
CookEast,24,N,337,493945.4502,5180995.306,2008,,W W,275.5905512
CookEast,14,D,79,493615.6537,5180675.171,2008,,W W,274.6062992
CookEast,11,A,7,493510.7264,5180568.273,2008,,W W,269.1929134
CookEast,13,D,78,493583.737,5180668.204,2008,,W W,268.7007874
CookEast,21,P,380,493858.7015,5181036.954,2008,,W W,265.7480315
CookEast,16,E,108,493690.9548,5180705.761,2008,,W W,257.8740157
CookEast,22,M,310,493885.5034,5180970.809,2008,,W W,256.8897638
CookEast,22,J,240,493884.7605,5180880.618,2008,,W W,253.9370079
CookEast,22,P,381,493890.6385,5181066.146,2008,,W W,250.492126
CookEast,16,B,33,493692.1523,5180610.417,2008,,W W,248.0314961
CookEast,14,J,232,493642.6259,5180861.321,2008,,W W,247.5393701
CookEast,20,Q,401,493817.8362,5181084.778,2008,,W W,246.0629921
CookEast,18,G,161,493733.7514,5180751.388,2008,,W W,245.0787402
CookEast,15,A,11,493638.3683,5180571.025,2008,,W W,244.0944882
CookEast,13,E,105,493595.2216,5180699.973,2008,,W W,231.7913386
CookEast,13,F,131,493592.5074,5180731.757,2008,,W W,231.7913386
CookEast,15,I,208,493640.0118,5180825.271,2008,,W W,196.8503937
CookEast,23,O,360,493923.8077,5181031.109,2008,,W W,196.3582677
CookEast,15,E,107,493659.0377,5180698.127,2008,,W W,190.9448819
CookEast,16,F,134,493688.2401,5180737.545,2008,,W W,182.5787402
CookEast,21,R,425,493841.5918,5181100.533,2008,,W W,169.7834646
CookEast,20,I,213,493799.5591,5180830.549,2008,,W W,164.8622047
CookEast,12,F,130,493560.6042,5180737.014,2008,,W W,141.7322835
CookEast,18,H,187,493750.8839,5180783.151,2008,,W W,140.2559055
CookEast,14,F,132,493624.4237,5180738.724,2008,,W W,138.2874016
CookEast,19,I,212,493767.6505,5180830.36,2008,,W W,126.476378
CookEast,11,E,103,493531.3986,5180695.374,2008,,W W,117.6181102
CookEast,13,H,182,493593.7796,5180793.198,2008,,W W,104.8228346
CookEast,14,G,157,493606.1367,5180770.524,2008,,W W,103.3464567
CookEast,14,H,183,493623.2698,5180802.287,2008,,W W,101.8700787
CookEast,15,F,133,493656.3232,5180729.911,2008,,W W,73.81889764
CookEast,16,H,185,493687.0856,5180801.108,2008,,W W,51.18110236
CookEast,13,G,156,493574.2206,5180763.557,2008,,W W,41.83070866
CookEast,15,H,184,493655.169,5180793.474,2008,,W W,29.52755906
CookEast,17,H,186,493718.9983,5180805.186,2008,,W W,15.25590551
CookEast,18,I,211,493735.7261,5180814.947,2008,,W W,3.444882
