"FieldID","Column","Row2","ID2","Easting","Northing","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",19,"P",378,493794.9034,5181052.799,2008,NA,"W W",518.2086614,1,"B",312.7165354304,1.65711947622717
"CookEast",16,"K",256,493668.9418,5180896.47,2008,NA,"W W",499.507874,1,"B",312.7165354304,1.59731839351736
"CookEast",17,"K",257,493700.8541,5180900.548,2008,NA,"W W",468.011811,1,"B",312.7165354304,1.49660078049874
"CookEast",16,"L",279,493690.9522,5180926.713,2008,NA,"W W",454.2322835,1,"B",312.7165354304,1.45253682500296
"CookEast",18,"N",331,493753.9831,5180973.833,2008,NA,"W W",437.5,1,"B",312.7165354304,1.3990305929869
"CookEast",18,"O",355,493764.2449,5181005.603,2008,NA,"W W",409.9409449,1,"B",312.7165354304,1.31090268167555
"CookEast",9,"B",26,493468.7786,5180603.878,2008,NA,"W W",390.2559055,1,"B",312.7165354304,1.24795417345898
"CookEast",12,"E",104,493561.319,5180707.229,2008,NA,"W W",375.984252,1,"B",312.7165354304,1.20231650520982
"CookEast",15,"J",233,493667.9079,5180857.023,2008,NA,"W W",358.7598425,1,"B",312.7165354304,1.14723656044037
"CookEast",17,"M",305,493725.9584,5180964.084,2008,NA,"W W",353.3464567,1,"B",312.7165354304,1.12992572079273
"CookEast",10,"C",50,493485.6536,5180644.888,2008,NA,"W W",349.4094488,1,"B",312.7165354304,1.11733601908546
"CookEast",9,"A",5,493446.9111,5180572.12,2008,NA,"W W",338.5826772,1,"B",312.7165354304,1.08271433979019
"CookEast",11,"D",76,493519.9137,5180663.606,2008,NA,"W W",275.5905512,1,"B",312.7165354304,0.881279113752963
"CookEast",14,"J",232,493642.6259,5180861.321,2008,NA,"W W",247.5393701,1,"B",312.7165354304,0.791577489688241
"CookEast",20,"Q",401,493817.8362,5181084.778,2008,NA,"W W",246.0629921,1,"B",312.7165354304,0.786856351428098
"CookEast",15,"I",208,493640.0118,5180825.271,2008,NA,"W W",196.8503937,1,"B",312.7165354304,0.629485081206434
"CookEast",21,"R",425,493841.5918,5181100.533,2008,NA,"W W",169.7834646,1,"B",312.7165354304,0.542930882648474
"CookEast",12,"F",130,493560.6042,5180737.014,2008,NA,"W W",141.7322835,1,"B",312.7165354304,0.453229258583753
"CookEast",11,"E",103,493531.3986,5180695.374,2008,NA,"W W",117.6181102,1,"B",312.7165354304,0.376117335906523
"CookEast",13,"H",182,493593.7796,5180793.198,2008,NA,"W W",104.8228346,1,"B",312.7165354304,0.335200805597726
"CookEast",14,"G",157,493606.1367,5180770.524,2008,NA,"W W",103.3464567,1,"B",312.7165354304,0.330479667657361
"CookEast",14,"H",183,493623.2698,5180802.287,2008,NA,"W W",101.8700787,1,"B",312.7165354304,0.325758529397218
"CookEast",13,"G",156,493574.2206,5180763.557,2008,NA,"W W",41.83070866,1,"B",312.7165354304,0.13376557975237
"CookEast",19,"O",356,493796.1682,5181021.016,2008,NA,"W W",561.515748,2,"B",352.034120736667,1.59506057772176
"CookEast",16,"J",234,493699.8241,5180864.657,2008,NA,"W W",507.8740157,2,"B",352.034120736667,1.44268406323007
"CookEast",11,"C",51,493514.0376,5180631.032,2008,NA,"W W",447.3425197,2,"B",352.034120736667,1.27073625353102
"CookEast",16,"I",209,493671.9282,5180832.905,2008,NA,"W W",442.4212598,2,"B",352.034120736667,1.2567567566297
"CookEast",12,"C",52,493545.1579,5180641.688,2008,NA,"W W",432.0866142,2,"B",352.034120736667,1.22739981367663
"CookEast",10,"B",27,493502.3017,5180616.156,2008,NA,"W W",428.6417323,2,"B",352.034120736667,1.21761416593092
