"FieldID","Column","Row2","ID2","Northing","Easting","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",23,"E",115,5180711.488,493915.6912,1999,NA,"SW",511.78,4,"C",517.406666666667,0.989125252863641
"CookEast",24,"E",116,5180709.276,493946.2304,1999,NA,"SW",463.2,4,"C",517.406666666667,0.895233923026375
"CookEast",24,"F",142,5180741.06,493943.5143,1999,NA,"SW",430.7,4,"C",517.406666666667,0.832420662019559
"CookEast",25,"G",168,5180764.049,493957.1254,1999,NA,"SW",356.59,4,"C",517.406666666667,0.689187099766786
"CookEast",26,"G",169,5180765.35,493989.0354,1999,NA,"SW",245.33,4,"C",517.406666666667,0.474153148393913
"CookEast",25,"H",194,5180793.536,493976.0776,1999,NA,"SW",387.01,4,"C",517.406666666667,0.747980312069165
"CookEast",26,"H",195,5180797.114,494006.1665,1999,NA,"SW",334.63,4,"C",517.406666666667,0.646744662483411
"CookEast",27,"I",220,5180829.434,494022.9164,1999,NA,"SW",715.05,4,"C",517.406666666667,1.38198837793612
"CookEast",27,"J",245,5180861.187,494050.8104,1999,NA,"SW",666.63,4,"C",517.406666666667,1.28840628261458
"CookEast",28,"K",268,5180885.966,494051.8273,1999,NA,"SW",913.28,4,"C",517.406666666667,1.76511061576323
"CookEast",28,"L",291,5180917.726,494072.7745,1999,NA,"SW",314.6,4,"C",517.406666666667,0.608032366545979
"CookEast",23,"A",17,5180586.206,493893.6615,1999,NA,"SW",775.04,5,"C",549.129333333333,1.41139792204387
"CookEast",24,"C",64,5180645.733,493928.0742,1999,NA,"SW",567.58,5,"C",549.129333333333,1.0335998562573
"CookEast",24,"D",89,5180676.141,493935.2029,1999,NA,"SW",456.35,5,"C",549.129333333333,0.831042838724089
"CookEast",25,"D",90,5180668.696,493966.648,1999,NA,"SW",486.32,5,"C",549.129333333333,0.885620145345237
"CookEast",25,"E",117,5180700.466,493978.1305,1999,NA,"SW",569.34,5,"C",549.129333333333,1.03680492998614
"CookEast",25,"F",143,5180731.339,493976.78,1999,NA,"SW",425.8,5,"C",549.129333333333,0.77540931462412
"CookEast",26,"F",144,5180733.551,494007.3245,1999,NA,"SW",399.54,5,"C",549.129333333333,0.727588157738189
"CookEast",27,"G",170,5180765.874,494020.9446,1999,NA,"SW",209.65,5,"C",549.129333333333,0.381786197301425
"CookEast",27,"H",196,5180797.638,494038.0756,1999,NA,"SW",488.94,5,"C",549.129333333333,0.890391334646119
"CookEast",28,"I",221,5180822.401,494054.8177,1999,NA,"SW",639.38,5,"C",549.129333333333,1.16435229587687
"CookEast",29,"I",222,5180840.594,494086.744,1999,NA,"SW",629.02,5,"C",549.129333333333,1.14548606642758
"CookEast",28,"J",246,5180854.155,494082.7116,1999,NA,"SW",659.47,5,"C",549.129333333333,1.20093748406568
"CookEast",29,"J",247,5180872.347,494114.6377,1999,NA,"SW",680.39,5,"C",549.129333333333,1.23903415588799
"CookEast",30,"K",270,5180879.014,494115.6366,1999,NA,"SW",689.24,5,"C",549.129333333333,1.2551505777631
"CookEast",30,"L",293,5180910.774,494136.5834,1999,NA,"SW",560.88,5,"C",549.129333333333,1.0213987233123
"CookEast",24,"B",41,5180613.932,493947.432,1999,NA,"SW",686.02,6,"C",493.041538461538,1.39140406331812
"CookEast",25,"C",65,5180636.922,493959.9746,1999,NA,"SW",632.04,6,"C",493.041538461538,1.2819203874225
"CookEast",26,"C",66,5180640.5,493989.6092,1999,NA,"SW",599.49,6,"C",493.041538461538,1.21590160916384
"CookEast",26,"D",91,5180669.998,493998.5585,1999,NA,"SW",645.97,6,"C",493.041538461538,1.31017358499986
"CookEast",26,"E",118,5180701.767,494010.0409,1999,NA,"SW",432.63,6,"C",493.041538461538,0.877471706237889
"CookEast",27,"F",145,5180734.075,494039.2338,1999,NA,"SW",376.78,6,"C",493.041538461538,0.764195246460744
"CookEast",28,"G",171,5180758.841,494052.8464,1999,NA,"SW",343,6,"C",493.041538461538,0.695681749392312
"CookEast",29,"G",172,5180777.034,494084.773,1999,NA,"SW",388.33,6,"C",493.041538461538,0.787621264552526
"CookEast",28,"H",197,5180790.605,494069.9771,1999,NA,"SW",273.8,6,"C",493.041538461538,0.555328463509082
"CookEast",29,"H",198,5180808.798,494101.9036,1999,NA,"SW",507,6,"C",493.041538461538,1.02831092402887
"CookEast",30,"I",223,5180815.449,494118.6277,1999,NA,"SW",445.87,6,"C",493.041538461538,0.904325427409767
"CookEast",30,"J",248,5180849.023,494145.1556,1999,NA,"SW",615.77,6,"C",493.041538461538,1.24892113942654
"CookEast",31,"K",271,5180892.762,494147.5581,1999,NA,"SW",462.84,6,"C",493.041538461538,0.938744434077952
"CookEast",27,"C",67,5180638.747,494023.7952,1999,NA,"SW",721.36,7,"C",482.963333333333,1.49361235152427
"CookEast",27,"D",92,5180670.521,494030.4682,1999,NA,"SW",729.15,7,"C",482.963333333333,1.50974194038195
"CookEast",27,"E",119,5180700.47,494044.2265,1999,NA,"SW",550.67,7,"C",482.963333333333,1.14019007654135
"CookEast",28,"E",120,5180695.259,494073.8525,1999,NA,"SW",532.94,7,"C",482.963333333333,1.1034792151233
"CookEast",28,"F",146,5180727.042,494071.1357,1999,NA,"SW",396.47,7,"C",482.963333333333,0.820911180282837
"CookEast",29,"F",147,5180745.235,494103.0625,1999,NA,"SW",332.64,7,"C",482.963333333333,0.688747938076735
"CookEast",30,"G",173,5180751.889,494116.657,1999,NA,"SW",362.29,7,"C",482.963333333333,0.750139762162759
"CookEast",30,"H",199,5180783.653,494133.7875,1999,NA,"SW",424.24,7,"C",482.963333333333,0.878410369317201
"CookEast",31,"I",224,5180829.197,494150.5495,1999,NA,"SW",296.91,7,"C",482.963333333333,0.614767166589596
"CookEast",28,"D",93,5180663.489,494062.3704,1999,NA,"SW",590.57,8,"C",467.78,1.2624951900466
"CookEast",29,"D",94,5180681.682,494094.2976,1999,NA,"SW",394.34,8,"C",467.78,0.843003121125315
"CookEast",29,"E",121,5180713.451,494105.7794,1999,NA,"SW",257.91,8,"C",467.78,0.551348924708196
"CookEast",30,"F",148,5180720.09,494134.9467,1999,NA,"SW",524,8,"C",467.78,1.12018470221044
"CookEast",31,"G",174,5180765.637,494148.5791,1999,NA,"SW",572.08,8,"C",467.78,1.22296806190944
